competitor_id,location_id,business_category,business_name,latitude,longitude,distance_km,source,confidence
COMP0001,LOC011,Kirana,Annapurna Mart,9.563703,85.694006,1.0,Illustrative,Low
COMP0002,LOC017,Dairy,Star Dairy,18.477949,76.578409,5.5,OpenStreetMap,High
COMP0003,LOC008,Tailoring,Modern Tailors,22.511548,73.578552,2.3,Illustrative,Low
COMP0004,LOC010,Tailoring,Modern Tailors,15.834412,85.613184,1.9,Illustrative,Low
COMP0005,LOC012,Dairy,Modern Dairy,9.836388,76.033552,6.8,User-provided,High
COMP0006,LOC015,Tailoring,Jai Tailoring Works,15.624385,85.271758,7.0,OpenStreetMap,High
COMP0007,LOC019,Dairy,Gramin Doodh Bhandar,25.979631,77.320623,9.7,OpenStreetMap,Medium
COMP0008,LOC006,Kirana,Bharat General Store,18.562930,87.903700,0.9,Illustrative,Low
COMP0009,LOC011,Tailoring,Modern Tailoring Works,27.605097,73.879578,1.0,OpenStreetMap,Medium
COMP0010,LOC003,Dairy,Shri Annapurna Dudh Dairy,22.328504,83.495424,4.5,User-provided,High
COMP0011,LOC001,Kirana,Sai Provision Store,23.123161,80.550980,2.2,OpenStreetMap,High
COMP0012,LOC008,Dairy,Ganesh Doodh Bhandar,12.409427,79.105815,2.8,OpenStreetMap,Medium
COMP0013,LOC018,Dairy,Jai Doodh Bhandar,24.853626,78.772928,2.4,OpenStreetMap,High
COMP0014,LOC005,Dairy,New Milk Center,20.087602,82.049239,2.7,OpenStreetMap,High
COMP0015,LOC014,Tailoring,Om Fashion Point,25.040897,80.893215,6.2,OpenStreetMap,Medium
COMP0016,LOC018,Dairy,Maa Doodh Bhandar,10.895244,82.758346,0.7,OpenStreetMap,High
COMP0017,LOC015,Dairy,Shri Royal Dudh Dairy,9.667072,72.803663,1.6,OpenStreetMap,Medium
COMP0018,LOC020,Dairy,Royal Milk Center,17.467128,82.760230,9.5,Illustrative,Low
COMP0019,LOC016,Dairy,Sun Doodh Bhandar,19.977522,77.696081,1.5,OpenStreetMap,Medium
COMP0020,LOC016,Kirana,Vishal General Store,8.956607,87.730473,5.3,OpenStreetMap,High
COMP0021,LOC017,Dairy,Durga Dairy,28.775287,80.938831,9.0,OpenStreetMap,High
COMP0022,LOC018,Tailoring,Annapurna Fashion Point,13.775304,85.540727,9.8,OpenStreetMap,High
COMP0023,LOC013,Kirana,Krishna General Store,20.875093,78.382332,0.4,OpenStreetMap,Medium
COMP0024,LOC016,Dairy,Shri Sun Dudh Dairy,27.886434,84.153109,3.5,OpenStreetMap,High
COMP0025,LOC008,Dairy,Krishna Doodh Bhandar,16.539473,80.377657,9.8,Illustrative,Low
COMP0026,LOC016,Kirana,Annapurna Provision Store,10.443162,83.171195,9.0,OpenStreetMap,Medium
COMP0027,LOC006,Tailoring,Ganesh Fashion Point,27.699848,88.055019,4.0,User-provided,Medium
COMP0028,LOC006,Dairy,New Milk Center,12.042732,87.006178,8.0,OpenStreetMap,Medium
COMP0029,LOC012,Dairy,New Milk Center,8.743255,88.042976,6.5,Illustrative,Low
COMP0030,LOC014,Kirana,Krishna General Store,9.074649,76.140643,5.0,Illustrative,Low
COMP0031,LOC009,Tailoring,Shree Boutique,30.331411,78.354409,4.6,Illustrative,Low
COMP0032,LOC017,Dairy,Vishal Milk Center,20.704183,86.503048,7.7,Illustrative,Low
COMP0033,LOC005,Dairy,Royal Doodh Bhandar,25.877158,81.536667,3.3,Illustrative,Low
COMP0034,LOC004,Kirana,Radha Kirana Store,13.010478,73.462523,1.1,User-provided,Medium
COMP0035,LOC003,Tailoring,Durga Boutique,15.080172,80.778052,8.0,Illustrative,Low
COMP0036,LOC017,Kirana,Ideal Provision Store,29.915394,75.980640,4.5,User-provided,Medium
COMP0037,LOC013,Tailoring,Shiv Tailors,14.199394,73.947996,6.7,OpenStreetMap,High
COMP0038,LOC012,Dairy,Sun Milk Center,13.692067,87.754315,4.0,User-provided,Medium
COMP0039,LOC008,Dairy,Vishal Doodh Bhandar,18.131815,79.414041,3.6,OpenStreetMap,Medium
COMP0040,LOC001,Dairy,Sun Doodh Bhandar,25.345948,78.834210,5.2,OpenStreetMap,High
COMP0041,LOC004,Kirana,Laxmi General Store,10.425877,77.069151,9.0,OpenStreetMap,Medium
COMP0042,LOC005,Kirana,Maa Provision Store,11.999768,87.230993,5.7,OpenStreetMap,High
COMP0043,LOC009,Dairy,Star Milk Center,29.976374,77.022098,0.3,OpenStreetMap,Medium
COMP0044,LOC003,Tailoring,Ganesh Boutique,14.773269,74.710338,0.2,Illustrative,Low
COMP0045,LOC009,Tailoring,Vishal Tailors,25.499835,87.528577,9.6,OpenStreetMap,High
COMP0046,LOC006,Dairy,Shri Annapurna Dudh Dairy,15.750630,84.724123,2.9,Illustrative,Low
COMP0047,LOC009,Dairy,Balaji Dairy,9.290479,73.089412,5.1,OpenStreetMap,Medium
COMP0048,LOC008,Kirana,Shiv Kirana Store,28.135975,79.585188,5.0,User-provided,High
COMP0049,LOC007,Kirana,Krishna Provision Store,28.458106,83.895589,6.3,User-provided,High
COMP0050,LOC002,Kirana,Ganesh Kirana Store,23.473304,86.613712,4.3,OpenStreetMap,High
COMP0051,LOC013,Kirana,Royal Provision Store,14.237332,77.401018,4.6,OpenStreetMap,Medium
COMP0052,LOC015,Dairy,Shri Gramin Dudh Dairy,31.840214,81.389052,2.5,OpenStreetMap,High
