business_id,business_name,customer_radius_km,customer_type,supplier_dependency,seasonality,main_operational_risks,key_demand_indicators
BUS00001,Vegetable Vendor - Unit 0001,0.8,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Monsoon-dependent (Jun-Sep),Limited access to working capital credit; Dependence on single supplier,Local construction/real estate activity; Local employment rate
BUS00002,Pharmacy - Unit 0002,0.4,B2B - Regional Distributors,Seasonal supplier contracts,High demand Oct-Dec (festive season),Limited access to working capital credit; Currency/import cost fluctuation,Online order volume trend; Average transaction value trend; Local construction/real estate activity
BUS00003,Hardware Store - Unit 0003,0.6,B2B - Local Businesses,Import-dependent supply chain,Harvest-season dependent,Perishable inventory spoilage; Seasonal cash flow gaps; High employee attrition,Repeat customer rate; Agricultural output in surrounding region; Local employment rate
BUS00004,Auto Repair Shop - Unit 0004,8,Institutional (Schools/Offices),Single supplier - high dependency,Year-end/New Year spike,Power/utility disruptions; Dependence on single supplier,School/college enrollment nearby; Local construction/real estate activity; Competitor density in radius
BUS00005,Bookstore - Unit 0005,3.2,Retail - Walk-in,Import-dependent supply chain,Monsoon-dependent (Jun-Sep),Dependence on single supplier; High employee attrition; Limited access to working capital credit,Seasonal festival calendar; Average transaction value trend; Competitor density in radius
BUS00006,Electronics Retailer - Unit 0006,6.6,Institutional (Schools/Offices),Import-dependent supply chain,Stable year-round demand,Delayed customer payments (B2B); High employee attrition,Average transaction value trend; Local employment rate
BUS00007,Hardware Store - Unit 0007,17.8,Online/E-commerce,Single supplier - high dependency,Monsoon-dependent (Jun-Sep),Regulatory/licensing compliance burden; Power/utility disruptions,Repeat customer rate; Online order volume trend; Local construction/real estate activity
BUS00008,Packaging Unit - Unit 0008,6.2,Mixed Retail & Wholesale,Self-sourced/in-house production,Year-end/New Year spike,Perishable inventory spoilage; Seasonal cash flow gaps,Agricultural output in surrounding region; Social media engagement/reviews
BUS00009,Textile Manufacturer - Unit 0009,5.5,Wholesale Bulk Buyers,Seasonal supplier contracts,Harvest-season dependent,High employee attrition; Seasonal cash flow gaps; Delayed customer payments (B2B),Repeat customer rate; Foot traffic count; Agricultural output in surrounding region
BUS00010,Salon & Spa - Unit 0010,2.2,Wholesale Bulk Buyers,Seasonal supplier contracts,Stable year-round demand,Power/utility disruptions; Logistics and last-mile delivery cost; Competition from larger chains,Social media engagement/reviews; Foot traffic count; Repeat customer rate
BUS00011,Sweet Shop - Unit 0011,22,Online/E-commerce,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Seasonal cash flow gaps; Competition from larger chains; Raw material price volatility,Social media engagement/reviews; Local population growth; Agricultural output in surrounding region
BUS00012,Handicraft Exporter - Unit 0012,1.1,Institutional (Schools/Offices),Import-dependent supply chain,"Low seasonality, weekday/weekend variation only",Seasonal cash flow gaps; Regulatory/licensing compliance burden,Social media engagement/reviews; Agricultural output in surrounding region
BUS00013,Handicraft Exporter - Unit 0013,0.5,Mixed Retail & Wholesale,Single supplier - high dependency,Stable year-round demand,Perishable inventory spoilage; High employee attrition; Raw material price volatility,Local construction/real estate activity; Repeat customer rate
BUS00014,Restaurant - Unit 0014,16.9,Government/Institutional Contracts,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Delayed customer payments (B2B); Seasonal cash flow gaps; Perishable inventory spoilage,Online order volume trend; Social media engagement/reviews; Agricultural output in surrounding region
BUS00015,Cloud Kitchen - Unit 0015,4.8,Online/E-commerce,Self-sourced/in-house production,"Low seasonality, weekday/weekend variation only",Dependence on single supplier; High employee attrition; Currency/import cost fluctuation,Competitor density in radius; Foot traffic count
BUS00016,Bookstore - Unit 0016,17.8,B2B - Regional Distributors,Single supplier - high dependency,Stable year-round demand,High employee attrition; Dependence on single supplier,Competitor density in radius; Repeat customer rate
BUS00017,Grocery Wholesaler - Unit 0017,2.7,Mixed Retail & Wholesale,2-3 suppliers - moderate dependency,"Low seasonality, weekday/weekend variation only",Limited access to working capital credit; Logistics and last-mile delivery cost,Online order volume trend; Average transaction value trend; Local employment rate
BUS00018,Clothing Boutique - Unit 0018,0.8,Wholesale Bulk Buyers,Diversified supplier base - low dependency,Harvest-season dependent,Competition from larger chains; Raw material price volatility; Dependence on single supplier,Local employment rate; Competitor density in radius
BUS00019,Event Planning Service - Unit 0019,0.9,B2B - Regional Distributors,Seasonal supplier contracts,Year-end/New Year spike,Power/utility disruptions; Seasonal cash flow gaps,Average transaction value trend; Online order volume trend; Repeat customer rate
BUS00020,Print & Copy Shop - Unit 0020,16.8,Government/Institutional Contracts,Single supplier - high dependency,Stable year-round demand,Seasonal cash flow gaps; Power/utility disruptions,Average transaction value trend; Online order volume trend; Local employment rate
BUS00021,Packaging Unit - Unit 0021,0.4,Retail - Walk-in,Self-sourced/in-house production,"Back-to-school peak (Jun, Jan)",Perishable inventory spoilage; Power/utility disruptions; Delayed customer payments (B2B),Local population growth; Online order volume trend; Seasonal festival calendar
BUS00022,Clothing Boutique - Unit 0022,0.5,Government/Institutional Contracts,Single supplier - high dependency,Wedding season peak (Nov-Feb),Raw material price volatility; Logistics and last-mile delivery cost,Social media engagement/reviews; Agricultural output in surrounding region; Local population growth
BUS00023,Pharmacy - Unit 0023,16.6,B2B - Local Businesses,Single supplier - high dependency,Stable year-round demand,Power/utility disruptions; Dependence on single supplier,Local construction/real estate activity; Agricultural output in surrounding region
BUS00024,Pharmacy - Unit 0024,20.8,Government/Institutional Contracts,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Regulatory/licensing compliance burden,Seasonal festival calendar; Local employment rate
BUS00025,Salon & Spa - Unit 0025,4.9,Retail - Repeat/Loyalty,Single supplier - high dependency,Year-end/New Year spike,Dependence on single supplier; Delayed customer payments (B2B),Social media engagement/reviews; Seasonal festival calendar
BUS00026,Salon & Spa - Unit 0026,8.1,B2B - Regional Distributors,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Competition from larger chains; Delayed customer payments (B2B),Local construction/real estate activity; School/college enrollment nearby; Social media engagement/reviews
BUS00027,Kirana Store - Unit 0027,18.4,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,"Back-to-school peak (Jun, Jan)",Dependence on single supplier; Delayed customer payments (B2B),Seasonal festival calendar; Agricultural output in surrounding region
BUS00028,Cafe - Unit 0028,3.3,B2B - Regional Distributors,Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Perishable inventory spoilage; Raw material price volatility; Dependence on single supplier,Seasonal festival calendar; Foot traffic count; School/college enrollment nearby
BUS00029,Furniture Store - Unit 0029,2.1,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Year-end/New Year spike,Delayed customer payments (B2B); Raw material price volatility; Dependence on single supplier,Agricultural output in surrounding region; Local population growth
BUS00030,Textile Manufacturer - Unit 0030,0.6,Government/Institutional Contracts,2-3 suppliers - moderate dependency,Harvest-season dependent,Raw material price volatility; Perishable inventory spoilage,Foot traffic count; Competitor density in radius; Online order volume trend
BUS00031,Sweet Shop - Unit 0031,3.2,Online/E-commerce,Seasonal supplier contracts,Harvest-season dependent,High employee attrition; Seasonal cash flow gaps,Local employment rate; Foot traffic count
BUS00032,Electronics Retailer - Unit 0032,7.8,Wholesale Bulk Buyers,Import-dependent supply chain,Monsoon-dependent (Jun-Sep),Seasonal cash flow gaps; Dependence on single supplier; Power/utility disruptions,Average transaction value trend; Online order volume trend
BUS00033,Clothing Boutique - Unit 0033,14.1,B2B - Regional Distributors,2-3 suppliers - moderate dependency,High demand Oct-Dec (festive season),Power/utility disruptions; Regulatory/licensing compliance burden,Repeat customer rate; Seasonal festival calendar; Competitor density in radius
BUS00034,Vegetable Vendor - Unit 0034,19.2,Government/Institutional Contracts,Diversified supplier base - low dependency,High demand Oct-Dec (festive season),Perishable inventory spoilage; Seasonal cash flow gaps,Foot traffic count; Repeat customer rate; Local construction/real estate activity
BUS00035,Tutoring Center - Unit 0035,7.6,Online/E-commerce,Self-sourced/in-house production,"Low seasonality, weekday/weekend variation only",Power/utility disruptions; Logistics and last-mile delivery cost,Seasonal festival calendar; Foot traffic count
